322.665,2.2356,9,06
#BS,456973,1,2,346584.738,4070327.136,2.2586,9,0E
#BS,456989,1,2,346584.738,4070327.136,2.2588,9,05
#CS,1508,1499,3A
#RCR,1512,1500,63
#BS,457013,1,2,346584.738,4070327.136,2.2585,9,03
#BS,457029,1,2,346584.738,4070327.136,2.2583,9,0C
#CS,1508,1503,38
#RCR,1511,1504,64
#BS,457053,1,2,346584.490,4070327.381,2.2585,9,08
#BS,9,1,2,346584.490,4070327.381,2.2583,9,07
#CS,1506,1500,35
#RCR,1504,1501,65
#4070327.381,2.2585,9,04
#BS,457109,1,2,346584.490,4070327.381,2.2585,9,06
#CS,1509,1499,3B
#RCR,1511,1500,60
#BS,47134,1,2,346584.490,4070327.381,2.2581,9,0C
#BS,457149,1,2,346584.241,4070327.626,2.2579,9,03
#CS,1509,1.2581,9,0D
#BS,457189,1,2,346584.241,4070327.626,2.2576,9,00
#CS,1509,1498,3A
#RCR,1511,1498,60#BS,457213,1,2,346584.241,4070327.626,2.2576,9,00
#BS,457229,1,2,346584.241,4070327.626,2.2571,9,0E
#CS,1507,1502,36#BS,457254,1,2,346583.782,4070327.763,2.2569,9,00
#BS,457269,1,2,346583.782,4070327.763,2.2564,9,03
#CS,1#CS,150CR,1509,1500,69
#BS,457335,1,2,346583.782,4070327.763,2.2553,9,0F
#BS,457349,1,2,346583.519,4070328.027,2.2555,9,0A#RCR,1514,1503,66
#BS,457373,1,2,346583.519,4070328.027,2.2555,9,03
#BS,457389,1,2,346583.519,4070328.027#BS,457413,1,2,346583.519,4070328.027,2.2553,9,04
#BS,457429,1,2,346583.519,4070328.027,2.2550,9,036
#RCR,1519,1503,6B
#BS,457454,1,2,346583.270,4070328.272,2.2550,9,0E
#BS,457469,1,2,346583.270,4070328.272,2.2548#CS,1519,1496,35
#RCR,1519,1497,67
#BS,457493,1,2,346583.270,4070328.272,2.2546,9,02
#BS,457509,1,2,3465#BS,457533,1,2,346583.270,4070328.272,2.2539,9,01
#BS,457549,1,2,346583.007,407A
#CS,1512,1507,37
#RCR,1510,1508,69
#BS,457573,1,2,346583.007,4070328.517,2.2534,9,0E
#BS,457589,1,2,346583.007,40328.517,2.2536,9,09
#CS,1512,1511,30
#RCR,1511,1512,63
#BS,457613,1,2,346583.007,4070328.517,2.2543,9,0#CS,1512,1508,38
#RCR,1511,1509,69
#BS,457654,1,2,346582.759,4070328.781,2.2539,9,05
#BS,457669,2.759,4070328.781,2.2539,9,0B
#CS,1512,1506,36
#RCR,1500,1507,67
#BS,457693,1,2,346582.759,4070328.781,2.2536,9,01S,457709,1,2,346582.759,4070328.781,2.2537,9,02
#CS,1500,1492,39
#RCR,1500,1493,6B
#BS,457733,1,2,346582070329.#BS,457789,1,2,346582.495,4070329.026,2.2536,9,03
#CS,1512,1482,3B
#RCR,1515,1483,6E
#BS,457813,1,2,346582.495,4070#BS,457828,1,2,346582.495,4070329.026,2.2539,9,08
#CS,1512,1484,3D
#RCR,1508,1485,64
#BS,457854,1,2,3465#CS,1508,1492,31
#RCR,1507,1493,6C
#CS,1522,1499,32
#RCR,1522,1500,60
#CS,1522,1506,35
#RCR,1524,1506,60
#BS,457948,1,2,346582.013,4070329.534,2.2532,9,08
#CS,1522,1498,33
#RCR,1523,1499,60
#BS,457973,1,2,346582.013,4070329.534,2.2532,9,00
#BS,457989,1,2,346582.013,4070329.534,2.2530,9,07
#CS,1510,1490,3A
#RCR,1511,1491,69
#BS,458013,1,2,346582.013,4070329.534,2.2525,9,06
#CS,1510,1498,32
#RCR,1513,1499,63
#BS,458049,1,2,346581.765,4070329.779,2.2516,9,07
#CS,1510,1499,33
#RCR,1511,1500,60
#BS,458073,1,2,346581.765,4070329.779,2.2511,9,09
#BS,458089,1,2,346581.765,4070329.779,2.2508,9,04
#CS,1501,1500,32
#RCR,1500,1501,61
#BS,458113,1,2,346581.765,4070329.779,2.2501,9,0F
#CS,1508,1503,38
#RCR,1509,1504,6D
#BS,458149,1,2,346581.516,4070330.042,2.2490,9,08
#CS,1508,1503,38
#RCR,1517,1504,62
