#RCR,-17629,-4882,5D
#BS,63233,1,2,346574.470,4070308.500,2.5011,9,33
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,63266,1,2,346574.470,4070308.500,2.5007,9,34
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,63297,1,2,346574.470,4070308.500,2.5004,9,39
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,63328,1,2,346574.470,4070308.500,2.5002,9,3A
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,63361,1,2,346574.470,4070308.500,2.5007,9,32
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,63392,1,2,346574.470,4070308.500,2.5009,9,30
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,63458,1,2,346574.470,4070308.500,2.5000,9,38
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,63491,1,2,346574.470,4070308.500,2.5000,9,3D
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,63521,1,2,346574.470,4070308.500,2.4997,9,31
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,63553,1,2,346574.470,4070308.500,2.4993,9,30
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,63586,1,2,346574.470,4070308.500,2.4988,9,32
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,63617,1,2,346574.470,4070308.500,2.4984,9,35
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,63648,1,2,346574.470,4070308.500,2.4984,9,3F
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,63681,1,2,346574.470,4070308.500,2.4986,9,38
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,63711,1,2,346574.470,4070308.500,2.4984,9,32
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,63742,1,2,346574.470,4070308.500,2.4986,9,36
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,63774,1,2,346574.470,4070308.500,2.4988,9,3D
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,63806,1,2,346574.470,4070308.500,2.4986,9,39
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,63837,1,2,346574.470,4070308.500,2.4990,9,3C
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,63869,1,2,346574.470,4070308.500,2.4990,9,37
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,63900,1,2,346574.470,4070308.500,2.4991,9,38
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,63931,1,2,346574.470,4070308.500,2.4990,9,3B
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,63964,1,2,346574.470,4070308.500,2.4991,9,3A
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,63994,1,2,346574.470,40703080,33
#RCR,-17629,-4882,5D
#BS,64026,1,2,346574.470,4070308.8,9,3B
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,64059,1,2,346574.470,4070308.500,2.5005,9,3F
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,64090,1,2,346574.470,4070308.500,2.5005,9,3A
#CS,1500,1500,33
#RCR,-17629,-4882,5#BS,64121,1,2,346574.470,4070308.500,2.5004,9,30
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,64152,1,2,346574.470,4070308.500,2.5005,9,35
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,64185,1,2,346574.470,4070308.500,2.5007,9,3D
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,64216,1,2,346574.470,4070308.500,2.5009,9,3A
#CS,RCR,-17629,-4882,5D
#BS,64246,1,2,346574.470,4070308.500,2.5005,9,33
#CS,1500,13
#RCR,-17629,-4882,5D
#BS,64279,1,2,346574.470,4070308.500,2.5011,9,3A
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,64310,1,2,346574.470,4070308.500,2.5012,9,37
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,64342,1,2,3465740,4070308.500,2.5014,9,36
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,64374,1,2,346574.470,4070308.500,2.5014,9,33
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,64467,1,2,346574.470,4070308.500,2.5012,9,30
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,64498,1,2,346574.470,4070308.500,2.5021,9,30
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,64529,1,2,346574.470,4070308.500,2.5021,9,3B
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,64562,1,2,346574.470,4070308.500,2.5021,9,34
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,64593,1,2,346574.470,4070308.300,2.5014,9,3A
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,64624,1,2,346574.470,4070308.300,2.5014,9,35
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,64655,1,2,346574.470,4070308.300,2.5012,9,35
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,64688,1,2,346574.470,4070308.300,2.5012,9,35
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,64719,1,2,346574.470,4070308.300,2.5019,9,37
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,64759,1,2,346574.470,4070308.300,2.5019,9,33
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,64791,1,2,346574.470,4070308.300,2.5016,9,38
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,64822,1,2,346574.470,4070308.300,2.5016,9,3F
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,64854,1,2,346574.470,4070308.300,2.5019,9,31
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,64886,1,2,346574.470,4070308.300,2.5014,9,33
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,64917,1,2,346574.470,4070308.300,2.5011,9,3F
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,64948,1,2,346574.470,4070308.300,2.5009,9,3C
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,64980,1,2,346574.470,4070308.300,2.5009,9,38
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,65011,1,2,346574.470,4070308.300,2.5009,9,38
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,65042,1,2,346574.470,4070308.300,2.5005,9,32
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,65075,1,2,346574.470,4070308.300,2.5005,9,36
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,65106,1,2,346574.470,4070308.300,2.5007,9,31
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,65139,1,2,346574.470,4070308.300,2.5007,9,3D
#CS,1500,1500,#RCR,-17629,-4882,5D
#BS,65170,1,2,346574.470,4070308.300,2.5#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,65201,1,2,346574.470,4070308.300,2.5011,9,32
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,65233,1,2,346574.470,4070308.300,2.5011,9,33
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,65264,1,2,346574.470,4070308.300,2.5011,9,31
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,65295,1,2,346574.470,4070308.300,2.5009,9,36
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,65329,1,2,346574.470,4070308.300,2.5012,9,3A
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,65420,1,2,346574.470,4070308.300,2.5004,9,33
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,65452,1,2,346574.470,4070308.300,2.5004,9,36
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,65482,1,2,346574.470,4070308.300,2.5005,9,3A
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,65514,1,2,346574.470,4070308.300,2.5004,9,35
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,65546,1,2,346574.470,4070308.300,2.5004,9,32
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,65577,1,2,346574.470,4070308.300,2.5000,9,34
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,65608,1,2,346574.470,4070308.300,2.5000,9,3F
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,65641,1,2,346574.470,4070308.300,2.5005,9,37
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,65672,1,2,346574.470,4070308.300,2.5005,9,37
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,65702,1,2,346574.470,4070308.300,2.5002,9,36
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,65735,1,2,346574.470,4070308.300,2.5000,9,30
#CS,1500,1500,33
#RCR,-17629,-4882,5D
LP:67.0 IMU:50.0 GGA:7.0 RC1:0.0 RC2:0.0
#BS,65778,1,2,346574.470,4070308.300,2.5002,9,3B
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,65809,1,2,346574.470,4070308.300,2.5000,9,30
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,65842,1,2,346574.470,4070308.300,2.5002,9,3D
#CS,1500,1500,33
#RCR,-17629,-4882,5D#BS,65872,1,2,346574.470,4070308.300,2.5002,9,3E
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,65904,1,2,346574.470,4070308.300,2.4998,9,35
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,65937,1,2,346574.470,4070308.300,2.4997,9,33
#RCR,-17629,-4882,5D
#BS,65968,1,2,346574.470,4070308.300,2.4991,9,36
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,65998,1,2,346574.470,4070308.300,2.4991,9,39
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,66031,1,2,346574.470,4070308.300,2.4991,9,30
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,66062,1,2,346574.470,40,1500,33
#RCR,-17629,-4882,5D
#BS,66093,1,2,346574.470,4070388,9,30
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,66125,1,2,346574.470,4070308.300,2.4991,9,34
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,66157,1,2,346574.470,4070308.300,2.4993,9,33
#CS,1500,1500,33
#RCR,-17629,-4882,#BS,66188,1,2,346574.470,4070308.300,2.4991,9,33
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,66220,1,2,346574.470,4070308.300,2.4993,9,30
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,66251,1,2,346574.470,4070308.300,2.4993,9,36
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,66283,1,2,346574.470,4070308.300,2.4986,9,3D
#CS,#RCR,-17629,-4882,5D
#BS,66314,1,2,346574.470,4070308.300,2.4986,9,32
#CS,1500500,33
#RCR,-17629,-4882,5D
#BS,66348,1,2,346574.470,4070308.300,2.4991,9,3D
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,66417,1,2,346574.470,4070308.300,2.4991,9,30
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,66450,1,2,346574.470,4070308.300,2.4995,9,37
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,66481,1,2,346574.470,4070308.300,2.4991,9,3F
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,66520,1,2,346574.470,4070308.300,2.4993,9,37
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,66551,1,2,346574.470,4070308.300,2.4991,9,33
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,66583,1,2,346574.470,4070308.300,2.4998,9,35
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,66614,1,2,346574.470,4070308.300,2.4998,9,38
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,66647,1,2,346574.470,4070308.300,2.5000,9,37
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,66677,1,2,346574.470,4070308.300,2.5002,9,36
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,66708,1,2,346574.470,4070308.300,2.4998,9,34
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,66741,1,2,346574.470,4070308.300,2.4998,9,39
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,66771,1,2,346574.470,4070308.300,2.4995,9,37
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,66803,1,2,346574.470,4070308.300,2.4997,9,3F
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,66835,1,2,346574.470,4070308.300,2.4995,9,38
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,66867,1,2,346574.470,4070308.300,2.4997,9,3D
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,66897,1,2,346574.470,4070308.300,2.4997,9,32
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,66930,1,2,346574.470,4070308.300,2.4995,9,3C
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,66961,1,2,346574.470,4070308.300,2.5000,9,3C
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,66992,4070308.300,2.4997,9,36
#CS,1500,1500,33
#RCR,-17629,-4882#BS,67024,1,2,346574.470,4070308.300,2.5004,9,31
#CS,1500,1500,33
