26.153,4069912.320,0.8564,7,3A
#HCS,auto,0.852,0.854,5E
#BS,35443,2,1,341726.387,4069912.075,0.8543,7,31
#CS,1503,1491,39
#RCR,1503,1492,69
#HCS,auto,0.852,0.855,5F
#BS,35492,2,1,341726.387,4069912.075,0.8545,7,3B
#CS,1503,1490,38
#RCR,1503,1490,6B
#HCS,auto,0.852,0.856,5C
#BS,35541,2,1,341726.489,4069911.962,0.8556,7,33
#CS,1503,1498,30
#RCR,1508,1499,69
#HCS,auto,0.852,0.856,5C
#BS,35590,2,1,341726.489,4069911.962,0.8561,7,3B
#CS,1503,1495,3D
#RCR,1499,1496,6F
#HCS,auto,0.852,0.856,5C
#BS,35639,2,1,341726.489,4069911.962,0.8556,7,3F
#CS,1503,1488,31
#RCR,1489,1489,60
#HCS,auto,0.852,0.855,5F
#CS,1503,1485,3C
#RCR,1500,1486,6F
#HCS,auto,0.852,0.854,5E
#BS,35720,2,1,341726.489,4069911.962,0.8543,7,32
#CS,1503,1479,3F
#RCR,1501,1480,68
LP:21.0 IMU:51.0 GGA:10.0 RC1:21.0 RC2:21.0
#HCS,auto,0.852,0.853,59
#BS,35786,2,1,341726.489,4069911.962,0.8535,7,3F
#CS,1503,1493,3B
#RCR,1500,1494,6C
#HCS,auto,0.852,0.854,5E
#BS,35835,2,1,341726.489,4069911.962,0.8543,7,39
#CS,1503,1483,3A
#RCR,1492,1484,67
#HCS,auto,0.852,0.855,5F
#BS,35883,2,1,341726.489,4069911.962,0.8552,7,34
#CS,1503,1482,3B
#RCR,1488,1483,6B
#HCS,auto,0.852,0.856,5C
#BS,35933,2,1,341726.489,4069911.962,0.8559,7,35
#CS,1503,1492,3A
#RCR,1496,1493,65
#HCS,auto,0.852,0.856,5C
#BS,35981,2,1,341726.489,4069911.962,0.8557,7,32
#CS,1503,1500,30
#RCR,1500,1501,61
#HCS,auto,0.852,0.856,5C
#BS,36031,2,1,341726.489,4069911.962,0.8563,7,34
#CS,1503,1487,3E
#RCR,1504,1488,65
#HCS,auto,0.852,0.856,5C
#BS,36079,2,1,341726.489,4069911.962,0.8564,7,3F
#CS,1503,1486,3F
#RCR,1503,1487,6D
#HCS,auto,0.852,0.856,5C
#BS,36129,2,1,341726.489,4069911.962,0.8563,7,3C
#CS,1503,1492,3A
#RCR,1488,1493,6A
#HCS,auto,0.852,0.857,5D
#BS,36177,2,1,341726.489,4069911.962,0.8566,7,32
#CS,1503,1476,30
#RCR,1501,1477,60
#HCS,auto,0.852,0.856,5C
#BS,36227,2,1,341726.489,4069911.962,0.8564,7,36
#CS,1503,1477,31
#RCR,1500,1478,6E
#HCS,auto,0.852,0.856,5C
#BS,36276,2,1,341726.489,4069911.962,0.8564,7,32
#CS,1503,1485,3C
#RCR,1496,1486,61
#HCS,auto,0.852,0.856,5C
#BS,36325,2,1,341726.489,4069911.962,0.8564,7,35
#CS,1503,1498,30
#RCR,1488,1499,60
#HCS,auto,0.852,0.857,5D
#BS,36374,2,1,341726.489,4069911.962,0.8575,7,31
#CS,1503,1484,3D
#RCR,1492,1485,66
#HCS,auto,0.852,0.857,5D
#BS,36423,2,1,341726.489,4069911.962,0.8568,7,38
#CS,1503,1472,34
#RCR,1492,1473,6F
#HCS,auto,0.852,0.855,5F
#BS,36474,2,1,341726.489,4069911.962,0.8552,7,33
#CS,1503,1492,3A
#RCR,1489,1493,6B
#HCS,auto,0.852,0.856,5C
#BS,36523,2,1,341726.489,4069911.962,0.8557,7,35
#CS,1503,1502,32
#RCR,1495,1503,6E
#HCS,auto,0.852,0.856,5C
#BS,36572,2,1,341726.533,4069911.906,0.8563,7,34
#CS,1503,1494,3C
#RCR,1501,1495,6C
#HCS,auto,0.852,0.857,5D
#BS,36621,2,1,341726.533,4069911.906,0.8566,7,34
#CS,1503,1494,3C
#RCR,1502,1495,6F
#HCS,auto,0.852,0.855,5F
#BS,36670,2,1,341726.533,4069911.906,0.8552,7,37
#CS,1503,1484,3D
#RCR,1501,1485,6D
#HCS,auto,0.852,0.856,5C
#BS,36719,2,1,341726.533,4069911.906,0.8559,7,32
#CS,1503,1487,3E
#RCR,1507,1488,66
#HCS,auto,0.852,0.856,5C
#BS,36768,2,1,341726.533,4069911.906,0.8561,7,3F
#CS,1503,1494,3C
#RCR,1502,1495,6F
#HCS,auto,0.852,0.856,5C
#BS,36817,2,1,341726.533,4069911.906,0.8561,7,38
#CS,1503,1503,33
#RCR,1500,1504,64
#HCS,auto,0.852,0.856,5C
#BS,36866,2,1,341726.533,4069911.906,0.8563,7,3C
#CS,1503,1491,39
#RCR,1508,1492,62
#HCS,auto,0.852,0.855,5F
#BS,36917,2,1,341726.533,4069911.906,0.8549,7,33
#CS,1503,1475,33
#RCR,1504,1476,64
#HCS,auto,0.852,0.856,5C
#BS,36966,2,1,341726.533,4069911.906,0.8557,7,3A
#CS,1503,1479,3F
#RCR,1503,1480,6A
#HCS,auto,0.852,0.856,5C
#BS,37015,2,1,341726.533,4069911.906,0.8557,7,36
#CS,1503,1496,3E
#RCR,1494,1497,63
#HCS,auto,0.852,0.856,5C
#BS,37064,2,1,341726.533,4069911.906,0.8561,7,35
#CS,1503,1498,30
#RCR,1494,1498,6C
#HCS,auto,0.852,0.856,5C
#CS,1503,1502,32
#RCR,1487,1503,6D
#HCS,auto,0.852,0.855,5F
#BS,37145,2,1,341726.533,4069911.906,0.8550,7,35
#CS,1503,1500,30
#RCR,1488,1501,60
#HCS,auto,0.852,0.856,5C
#BS,37194,2,1,341726.533,4069911.906,0.8564,7,3E
#CS,1503,1492,3A
#RCR,1504,1493,6F
#HCS,auto,0.852,0.856,5C
#BS,37243,2,1,341726.533,4069911.906,0.8561,7,32
#CS,1503,1502,32
#RCR,1504,1503,67
#HCS,auto,0.852,0.856,5C
#BS,37292,2,1,341726.533,4069911.906,0.8557,7,3B
#CS,1503,1499,31
#RCR,1504,1500,64
#HCS,auto,0.852,0.856,5C
#BS,37341,2,1,341726.533,4069911.906,0.8559,7,3A
#CS,1503,1492,3A
#RCR,1505,1493,6E
#HCS,auto,0.852,0.855,5F
#BS,37392,2,1,341726.533,4069911.906,0.8545,7,39
#CS,1503,1495,3D
#RCR,1505,1496,6B
#HCS,auto,0.852,0.855,5F
#BS,37441,2,1,341726.533,4069911.906,0.8549,7,3C
#CS,1503,1487,3E
#RCR,1503,1488,62
#HCS,auto,0.852,0.855,5F
#BS,37490,2,1,341726.533,4069911.906,0.8550,7,38
#CS,1503,1484,3D
#RCR,1502,1485,6E
#HCS,auto,0.852,0.855,5F
#BS,37539,2,1,341726.621,4069911.849,0.8554,7,34
#CS,1503,1488,31
#RCR,1504,1489,64
#HCS,auto,0.852,0.855,5F
#BS,37588,2,1,341726.621,4069911.849,0.8552,7,38
#CS,1503,1490,38
#RCR,1505,1491,6C
#HCS,auto,0.852,0.855,5F
